[2025-06-20 16:48:12] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:48:12] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:48:12] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:48:12] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:48:12] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:48:12] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:48:15] [INFO] [Device:-1] [Thread:123800175789760] [2025-06-20 16:48:15] [模拟时间: 15:07] 环境状态 - 温度: 2546062611952539648.0°C, 湿度: 4803534443108750336.0%, CO2: 13934140429276033024.0 ppm, 光照: 74974298519292198912.0 lux, 人数: 2, 场景: afternoon
[2025-06-20 16:48:15] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:48:15] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:48:15] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:48:15] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:48:15] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:48:15] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:48:15] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:48:15] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:48:18] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:48:18] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:48:18] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:48:18] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:48:18] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:48:18] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:48:18] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:48:18] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:48:21] [INFO] [Device:-1] [Thread:123800175789760] [2025-06-20 16:48:21] [模拟时间: 15:10] 环境状态 - 温度: 2855893172908459008.0°C, 湿度: 5078973227328445440.0%, CO2: 13791458057921492992.0 ppm, 光照: 69598126320268754944.0 lux, 人数: 2, 场景: afternoon
[2025-06-20 16:48:21] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:48:21] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:48:21] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:48:21] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:48:21] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:48:21] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:48:21] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:48:21] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:48:24] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
